time_s,roll_deg,pitch_deg,airspeed,altitude,lat,lon
120.025,35.12,4.89,0.00,0.00,0.0000000,0.0000000
120.081,34.92,4.88,0.00,0.00,0.0000000,0.0000000
120.121,34.87,4.87,30.41,624.16,-35.3714220,149.1800503
120.185,35.06,4.85,30.41,624.16,-35.3714220,149.1800503
120.225,35.07,4.84,30.40,624.16,-35.3714479,149.1800606
120.281,34.80,4.81,30.40,624.16,-35.3714479,149.1800606
120.321,34.44,4.83,30.41,624.16,-35.3714739,149.1800708
120.385,33.55,4.86,30.41,624.16,-35.3714739,149.1800708
120.425,33.07,4.76,30.42,624.16,-35.3715000,149.1800807
120.481,32.19,4.60,30.42,624.16,-35.3715000,149.1800807
120.521,30.72,4.65,30.40,624.13,-35.3715262,149.1800904
120.585,28.66,4.56,30.40,624.13,-35.3715262,149.1800904
120.625,27.97,4.34,30.43,624.09,-35.3715524,149.1800996
120.681,26.18,4.18,30.43,624.09,-35.3715524,149.1800996
120.721,24.42,4.15,30.42,624.04,-35.3715788,149.1801084
120.785,22.30,3.94,30.42,624.04,-35.3715788,149.1801084
120.825,21.06,3.79,30.44,623.97,-35.3716053,149.1801167
120.881,18.80,3.64,30.44,623.97,-35.3716053,149.1801167
120.921,17.25,3.53,30.44,623.89,-35.3716320,149.1801245
120.985,15.05,3.35,30.44,623.89,-35.3716320,149.1801245
121.025,13.59,3.25,30.48,623.81,-35.3716587,149.1801319
121.081,11.39,3.10,30.48,623.81,-35.3716587,149.1801319
121.121,9.95,2.99,30.48,623.71,-35.3716855,149.1801389
121.185,7.82,2.84,30.48,623.71,-35.3716855,149.1801389
121.225,6.42,2.74,30.52,623.62,-35.3717124,149.1801457
121.281,4.40,2.57,30.52,623.62,-35.3717124,149.1801457
121.321,3.06,2.44,30.51,623.52,-35.3717393,149.1801522
121.385,1.10,2.26,30.51,623.52,-35.3717393,149.1801522
121.425,-0.16,2.13,30.52,623.42,-35.3717662,149.1801586
121.481,-1.99,1.89,30.52,623.42,-35.3717662,149.1801586
121.521,-3.18,1.72,30.53,623.31,-35.3717932,149.1801649
121.585,-4.96,1.42,30.53,623.31,-35.3717932,149.1801649
121.625,-6.10,1.19,30.57,623.19,-35.3718202,149.1801713
121.681,-7.73,0.78,30.57,623.19,-35.3718202,149.1801713
121.721,-8.80,0.46,30.57,623.06,-35.3718471,149.1801778
121.785,-10.42,-0.13,30.57,623.06,-35.3718471,149.1801778
121.825,-11.45,-0.62,30.61,622.89,-35.3718741,149.1801844
121.881,-12.92,-1.55,30.61,622.89,-35.3718741,149.1801844
121.921,-13.95,-2.39,30.62,622.67,-35.3719009,149.1801913
121.985,-14.17,-3.70,30.62,622.67,-35.3719009,149.1801913
122.025,-14.01,-4.44,30.68,622.38,-35.3719278,149.1801986
122.081,-17.28,-5.55,30.68,622.38,-35.3719278,149.1801986
122.121,-19.62,-6.32,30.70,621.97,-35.3719545,149.1802061
122.185,-15.91,-7.24,30.70,621.97,-35.3719545,149.1802061
122.225,-14.20,-7.82,30.83,621.46,-35.3719811,149.1802142
122.281,-24.92,-8.98,30.83,621.46,-35.3719811,149.1802142
122.321,-25.86,-9.48,30.87,620.86,-35.3720076,149.1802223
122.385,-17.45,-9.86,30.87,620.86,-35.3720076,149.1802223
122.425,-21.62,-10.47,30.96,620.17,-35.3720339,149.1802311
122.481,-27.56,-11.62,30.96,620.17,-35.3720339,149.1802311
122.521,-22.96,-11.98,31.02,619.41,-35.3720600,149.1802401
122.585,-21.56,-12.41,31.02,619.41,-35.3720600,149.1802401
122.625,-26.87,-13.02,31.12,618.54,-35.3720856,149.1802499
